Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.41,0.0,0.1,0.0,0.0
0.419,0.0,0.096,0.0,0.0
0.428,0.0,0.1,0.0,0.0
0.437,0.0,0.1,0.0,0.0
0.446,0.0,0.1,0.0,0.0
0.455,0.0,0.1,0.0,0.0
0.464,0.0,0.1,0.0,0.0
0.509,0.0,0.1,0.0,0.0
0.518,0.0,0.096,0.0,0.0
0.526,0.0,0.1,0.0,0.0
0.535,0.0,0.1,0.0,0.0
0.544,0.0,0.096,0.0,0.0
0.553,0.0,0.1,0.0,0.0
0.561,0.0,0.1,0.0,0.0
0.57,0.0,0.1,0.0,0.0
0.579,0.0,0.096,0.0,0.0
0.587,0.0,0.1,0.0,0.0
0.596,0.0,0.1,0.0,0.0
0.605,0.0,0.096,0.0,0.0
0.614,0.0,0.096,0.0,0.0
0.623,0.0,0.1,0.0,0.0
0.632,0.0,0.1,0.0,0.0
0.641,0.0,0.096,0.0,0.0
0.65,0.0,0.1,0.0,0.0
0.66,0.0,0.1,0.0,0.0
0.669,0.0,0.1,0.0,0.0
0.678,0.0,0.1,0.0,0.0
0.687,0.0,0.1,0.0,0.0
0.696,0.0,0.1,0.0,0.0
0.705,0.0,0.1,0.0,0.0
0.714,0.0,0.096,0.0,0.0
0.723,0.0,0.096,0.0,0.0
0.732,0.0,0.1,0.0,0.0
0.742,0.0,0.1,0.0,0.0
0.75,0.0,0.1,0.0,0.0
0.759,0.0,0.1,0.0,0.0
0.768,0.0,0.1,0.0,0.0
0.776,0.0,0.1,0.0,0.0
0.785,0.0,0.1,0.0,0.0
0.794,0.0,0.096,0.0,0.0
0.803,0.0,0.1,0.0,0.0
0.811,0.0,0.096,0.0,0.0
0.82,0.0,0.1,0.0,0.0
0.829,0.0,0.1,0.0,0.0
0.838,0.0,0.096,0.0,0.0
0.847,0.0,0.1,0.0,0.0
0.856,0.0,0.1,0.0,0.0
0.866,0.0,0.096,0.0,0.0
0.874,0.0,0.1,0.0,0.0
0.884,0.0,0.096,0.0,0.0
0.928,0.0,0.1,0.0,0.0
0.936,0.0,0.1,0.0,0.0
0.945,0.0,0.096,0.0,0.0
0.954,0.0,0.096,0.0,0.0
0.963,0.0,0.096,0.0,0.0
0.971,0.0,0.1,0.0,0.0
0.98,0.0,0.1,0.0,0.0
0.989,0.0,0.1,0.0,0.0
0.998,0.0,0.1,0.0,0.0
1.007,0.0,0.1,0.0,0.0
1.018,0.0,0.1,0.0,0.0
1.028,0.0,0.096,0.0,0.0
1.037,0.0,0.1,0.0,0.0
1.046,0.0,0.096,0.0,0.0
1.056,0.0,0.1,0.0,0.0
1.065,0.0,0.1,0.0,0.0
1.075,0.0,0.1,0.0,0.0
1.084,0.0,0.096,0.0,0.0
1.093,15.0,0.1,0.0,0.0
1.103,17.0,0.1,0.0,0.0
1.112,20.0,0.1,0.0,0.0
1.121,25.0,0.1,0.0,0.0
1.182,30.0,0.1,0.0,0.0
1.191,35.0,0.096,0.0,0.0
1.2,40.0,0.096,0.0,0.0
1.209,45.0,0.096,0.0,0.0
1.219,50.0,0.1,0.0,0.0
1.228,55.0,0.096,0.0,0.0
1.237,59.0,0.1,0.0,0.0
1.248,64.0,0.1,0.0,0.0
1.257,68.0,0.096,0.0,0.0
1.267,73.0,0.096,0.0,0.0
1.276,77.0,0.1,0.0,0.0
1.287,79.0,0.1,0.0,0.0
1.296,82.0,0.1,0.0,0.0
1.306,84.0,0.096,0.0,0.0
1.315,86.0,0.1,0.0,0.0
1.324,87.0,0.1,0.0,0.0
1.333,89.0,0.096,0.0,0.0
1.342,91.0,0.1,0.0,0.0
1.35,92.0,0.1,0.0,0.0
1.359,94.0,0.1,0.0,0.0
1.368,95.0,0.096,0.0,0.0
1.376,97.0,0.1,0.0,0.0
1.385,98.0,0.1,0.0,0.0
1.394,99.0,0.1,0.0,0.0
1.402,100.0,0.1,0.0,0.0
1.411,100.0,0.096,0.0,0.0
1.42,101.0,0.1,0.0,0.0
1.429,102.0,0.1,0.0,0.0
1.437,105.0,0.1,0.0,0.0
1.446,109.0,0.1,0.0,0.0
1.455,112.0,0.096,0.0,0.0
1.464,115.0,0.1,0.0,0.0
1.472,119.0,0.096,0.0,0.0
1.481,122.0,0.1,0.0,0.0
1.49,125.0,0.096,0.0,0.0
1.498,128.0,0.1,0.0,0.0
1.507,128.0,0.096,0.0,0.0
1.516,128.0,0.1,0.0,0.0
1.525,128.0,0.1,0.0,0.0
1.534,128.0,0.1,0.0,0.0
1.543,127.0,0.096,0.0,0.0
1.552,127.0,0.096,0.0,0.0
1.561,126.0,0.1,0.0,0.0
1.57,126.0,0.1,0.0,0.0
1.579,125.0,0.096,0.0,0.0
1.588,124.0,0.1,0.0,0.0
1.597,123.0,0.1,0.0,0.0
1.605,122.0,0.1,0.0,0.0
1.614,121.0,0.1,0.0,0.0
1.623,120.0,0.1,0.0,0.0
1.632,118.0,0.096,0.0,0.0
1.64,117.0,0.1,0.0,0.0
1.649,115.0,0.096,0.0,0.0
1.658,113.0,0.096,0.0,0.0
1.667,111.0,0.096,0.0,0.0
1.676,109.0,0.096,0.0,0.0
1.685,107.0,0.1,0.0,0.0
1.693,105.0,0.1,0.0,0.0
1.703,103.0,0.1,0.0,0.0
1.711,101.0,0.1,0.0,0.0
1.72,98.0,0.1,0.0,0.0
1.728,96.0,0.096,0.0,0.0
1.737,93.0,0.1,0.0,0.0
1.746,90.0,0.1,0.0,0.0
1.755,87.0,0.1,0.0,0.0
1.763,84.0,0.096,0.0,0.0
1.772,81.0,0.096,0.0,0.0
1.78,78.0,0.096,0.0,0.0
1.789,74.0,0.1,0.0,0.0
1.798,71.0,0.1,0.0,0.0
1.807,67.0,0.1,0.0,0.0
1.815,64.0,0.1,0.0,0.0
1.824,60.0,0.1,0.0,0.0
