Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.411,0.0,5.072,0.01,0.051
0.419,0.0,5.076,0.01,0.051
0.427,0.0,5.076,0.01,0.051
0.435,0.0,5.076,0.0,0.0
0.443,0.0,5.072,0.01,0.051
0.451,0.0,5.076,0.0,0.0
0.459,0.0,4.604,0.017,0.078
0.468,0.0,0.112,0.0,0.0
0.513,0.0,0.112,0.0,0.0
0.521,0.0,0.116,0.0,0.0
0.529,0.0,0.112,0.0,0.0
0.537,0.0,0.112,0.0,0.0
0.545,0.0,0.112,0.0,0.0
0.554,0.0,0.116,0.0,0.0
0.562,0.0,0.112,0.0,0.0
0.57,0.0,0.112,0.0,0.0
0.578,0.0,0.112,0.0,0.0
0.586,0.0,0.112,0.0,0.0
0.594,0.0,0.112,0.0,0.0
0.603,0.0,0.112,0.0,0.0
0.611,0.0,0.112,0.0,0.0
0.619,0.0,0.116,0.0,0.0
0.627,0.0,0.112,0.0,0.0
0.635,0.0,0.116,0.0,0.0
0.643,0.0,0.116,0.0,0.0
0.651,0.0,0.116,0.0,0.0
0.66,0.0,0.112,0.0,0.0
0.668,0.0,0.112,0.0,0.0
0.677,0.0,0.112,0.0,0.0
0.685,0.0,0.112,0.0,0.0
0.693,0.0,0.116,0.0,0.0
0.702,0.0,0.112,0.0,0.0
0.71,0.0,0.112,0.0,0.0
0.719,0.0,0.112,0.0,0.0
0.727,0.0,0.116,0.0,0.0
0.735,0.0,0.112,0.0,0.0
0.744,0.0,0.116,0.0,0.0
0.752,0.0,0.112,0.0,0.0
0.76,0.0,0.112,0.0,0.0
0.769,0.0,0.112,0.0,0.0
0.777,0.0,0.116,0.0,0.0
0.786,0.0,0.112,0.0,0.0
0.794,0.0,0.116,0.0,0.0
0.802,0.0,0.116,0.0,0.0
0.81,0.0,0.112,0.0,0.0
0.818,0.0,0.112,0.0,0.0
0.827,0.0,0.112,0.0,0.0
0.835,0.0,0.116,0.0,0.0
0.843,0.0,0.112,0.0,0.0
0.852,0.0,0.116,0.0,0.0
0.86,0.0,0.112,0.0,0.0
0.869,0.0,0.116,0.0,0.0
0.912,0.0,5.072,0.01,0.051
0.92,0.0,5.072,0.01,0.051
0.93,0.0,5.072,0.01,0.051
0.941,0.0,5.076,0.0,0.0
0.949,0.0,5.072,0.01,0.051
0.958,0.0,5.072,0.011,0.056
0.968,0.0,5.036,1.024,5.157
0.981,0.0,5.04,1.023,5.156
0.993,0.0,5.036,1.024,5.157
1.005,0.0,5.04,1.024,5.161
1.017,0.0,5.036,1.022,5.147
1.029,0.0,5.04,1.022,5.151
1.042,0.0,5.072,0.017,0.086
1.055,2.0,5.076,0.017,0.086
1.068,5.0,5.072,0.016,0.081
1.079,8.0,5.072,0.016,0.081
1.09,11.0,5.076,0.016,0.081
1.101,14.0,7.624,0.026,0.198
1.113,19.0,9.104,0.029,0.264
1.181,24.0,9.104,0.03,0.273
1.194,29.0,9.1,0.029,0.264
1.207,34.0,9.104,0.03,0.273
1.219,39.0,9.104,0.028,0.255
1.231,44.0,9.1,0.029,0.264
1.243,49.0,9.104,0.032,0.291
1.255,54.0,9.1,0.03,0.273
1.268,59.0,9.1,0.031,0.282
1.279,64.0,9.104,0.03,0.273
1.29,68.0,9.076,0.981,8.904
1.302,72.0,9.072,0.98,8.891
1.313,75.0,9.072,0.98,8.891
1.324,77.0,9.076,0.98,8.894
1.335,80.0,9.076,0.983,8.922
1.346,82.0,9.076,0.962,8.731
1.358,84.0,9.076,0.959,8.704
1.369,86.0,9.076,0.958,8.695
1.381,88.0,9.076,0.961,8.722
1.392,90.0,9.076,0.959,8.704
1.403,92.0,9.076,0.96,8.713
1.415,93.0,9.076,0.96,8.713
1.426,95.0,9.076,0.959,8.704
1.438,96.0,9.076,0.959,8.704
1.449,97.0,9.076,0.937,8.504
1.461,98.0,9.076,0.938,8.513
1.473,100.0,9.076,0.938,8.513
1.486,101.0,9.076,0.936,8.495
1.498,101.0,9.076,0.937,8.504
1.511,102.0,9.076,0.935,8.486
1.523,106.0,9.076,0.937,8.504
1.536,109.0,9.076,0.939,8.522
1.548,113.0,9.08,0.916,8.317
1.561,116.0,9.08,0.914,8.299
1.573,120.0,9.076,0.916,8.314
1.584,123.0,9.08,0.917,8.326
1.596,127.0,9.076,0.917,8.323
1.608,130.0,9.08,0.914,8.299
1.619,130.0,9.072,0.918,8.328
1.63,130.0,9.076,0.918,8.332
1.641,130.0,9.08,0.893,8.108
1.653,130.0,9.076,0.892,8.096
1.664,130.0,9.08,0.891,8.09
1.677,129.0,9.08,0.893,8.108
1.689,129.0,9.076,0.896,8.132
1.702,129.0,9.076,0.896,8.132
1.715,128.0,9.076,0.893,8.105
1.727,127.0,9.08,0.893,8.108
1.74,126.0,9.08,0.874,7.936
1.752,125.0,9.08,0.872,7.918
1.765,124.0,9.076,0.873,7.923
1.777,123.0,9.076,0.871,7.905
1.788,122.0,9.076,0.871,7.905
1.799,121.0,9.076,0.871,7.905
1.81,119.0,9.076,0.873,7.923
1.821,117.0,9.08,0.87,7.9
1.832,116.0,9.08,0.849,7.709
1.843,114.0,9.08,0.85,7.718
1.854,112.0,9.076,0.849,7.706
1.865,110.0,9.08,0.849,7.709
1.877,108.0,9.08,0.852,7.736
1.888,106.0,9.08,0.85,7.718
1.899,103.0,9.076,0.852,7.733
1.91,101.0,9.08,0.847,7.691
1.922,98.0,9.08,0.85,7.718
1.933,96.0,9.08,0.827,7.509
1.944,93.0,9.08,0.826,7.5
1.955,90.0,9.076,0.828,7.515
1.967,87.0,9.08,0.826,7.5
1.978,84.0,9.08,0.828,7.518
1.989,81.0,9.08,0.827,7.509
2.001,77.0,9.08,0.827,7.509
2.012,74.0,9.08,0.828,7.518
2.023,71.0,9.08,0.805,7.309
2.034,67.0,9.08,0.804,7.3
2.046,63.0,9.08,0.805,7.309
2.057,59.0,9.08,0.804,7.3
2.069,55.0,9.08,0.807,7.328
2.08,51.0,9.08,0.805,7.309
2.092,47.0,9.08,0.804,7.3
2.103,43.0,9.08,0.806,7.318
2.115,39.0,9.08,0.805,7.309
2.127,34.0,9.08,0.785,7.128
2.138,32.0,9.084,0.782,7.104
2.15,31.0,9.08,0.785,7.128
2.162,29.0,9.08,0.783,7.11
2.174,27.0,9.084,0.784,7.122
2.186,26.0,9.08,0.781,7.091
2.197,24.0,9.08,0.785,7.128
2.208,22.0,9.08,0.784,7.119
2.22,20.0,9.08,0.783,7.11
2.231,18.0,9.08,0.784,7.119
2.242,16.0,9.08,0.784,7.119
2.253,14.0,9.084,0.784,7.122
2.265,12.0,9.076,0.784,7.116
2.275,9.0,9.084,0.784,7.122
2.283,7.0,9.08,0.784,7.119
2.292,5.0,9.08,0.784,7.119
2.301,3.0,9.08,0.784,7.119
