Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.017,0.0,0.124,0.0,0.0
0.029,0.0,0.128,0.0,0.0
0.041,0.0,0.124,0.0,0.0
0.053,0.0,0.124,0.0,0.0
0.065,0.0,0.124,0.0,0.0
0.077,0.0,0.124,0.0,0.0
0.089,0.0,0.124,0.0,0.0
0.1,0.0,0.124,0.0,0.0
0.113,0.0,0.124,0.0,0.0
0.125,0.0,0.124,0.0,0.0
0.137,0.0,0.128,0.0,0.0
0.149,0.0,0.128,0.0,0.0
0.159,0.0,0.128,0.0,0.0
0.17,0.0,0.124,0.0,0.0
0.181,0.0,0.124,0.0,0.0
0.192,0.0,0.124,0.0,0.0
0.203,0.0,0.124,0.0,0.0
0.214,0.0,0.124,0.0,0.0
0.225,0.0,0.128,0.0,0.0
0.236,0.0,0.128,0.0,0.0
0.248,0.0,0.128,0.0,0.0
0.259,0.0,0.124,0.0,0.0
0.269,0.0,0.128,0.0,0.0
0.281,0.0,0.128,0.0,0.0
0.292,0.0,0.124,0.0,0.0
0.302,0.0,0.124,0.0,0.0
0.314,0.0,0.124,0.0,0.0
0.325,0.0,0.124,0.0,0.0
0.335,0.0,0.124,0.0,0.0
0.347,0.0,0.128,0.0,0.0
0.358,0.0,0.128,0.0,0.0
0.368,0.0,0.124,0.0,0.0
0.379,0.0,0.124,0.0,0.0
0.39,0.0,0.124,0.0,0.0
0.4,0.0,0.124,0.0,0.0
0.411,0.0,0.124,0.0,0.0
0.422,0.0,0.128,0.0,0.0
0.435,0.0,0.124,0.0,0.0
0.446,0.0,0.124,0.0,0.0
0.457,0.0,0.124,0.0,0.0
0.467,0.0,0.124,0.0,0.0
0.478,0.0,0.128,0.0,0.0
0.489,0.0,0.124,0.0,0.0
0.5,0.0,5.076,0.0,0.0
0.51,0.0,5.072,0.0,0.0
0.57,0.0,5.076,0.011,0.056
0.58,0.0,5.076,0.01,0.051
0.592,0.0,5.072,0.011,0.056
0.603,0.0,5.076,0.01,0.051
0.613,0.0,5.072,0.0,0.0
0.628,0.0,5.076,0.01,0.051
0.638,0.0,5.072,0.01,0.051
0.649,0.0,5.076,0.011,0.056
0.661,0.0,5.076,0.01,0.051
0.671,0.0,5.076,0.01,0.051
0.682,0.0,5.076,0.01,0.051
0.693,0.0,5.072,0.01,0.051
0.704,0.0,5.076,0.01,0.051
0.715,0.0,5.076,0.0,0.0
0.728,0.0,5.076,0.01,0.051
0.74,0.0,5.076,0.01,0.051
0.75,0.0,5.076,0.0,0.0
0.76,0.0,5.076,0.0,0.0
0.77,0.0,5.076,0.0,0.0
0.78,0.0,5.072,0.0,0.0
0.79,0.0,5.072,0.01,0.051
0.8,0.0,5.076,0.0,0.0
0.81,0.0,5.076,0.01,0.051
0.82,0.0,5.072,0.01,0.051
0.83,0.0,5.076,0.01,0.051
0.841,0.0,5.076,0.011,0.056
0.851,0.0,5.072,0.0,0.0
0.862,0.0,5.076,0.01,0.051
0.873,0.0,5.076,0.0,0.0
0.884,0.0,5.076,0.011,0.056
0.895,0.0,5.076,0.0,0.0
0.906,0.0,5.076,0.0,0.0
0.918,0.0,5.076,0.01,0.051
0.928,0.0,5.08,0.011,0.056
0.939,0.0,5.076,0.012,0.061
0.951,0.0,5.076,0.011,0.056
0.962,0.0,5.076,0.0,0.0
0.973,0.0,5.076,0.0,0.0
0.985,0.0,5.076,0.01,0.051
0.996,0.0,5.08,0.01,0.051
1.006,0.0,5.076,0.011,0.056
1.018,0.0,5.072,0.01,0.051
1.029,0.0,5.076,0.01,0.051
1.039,0.0,5.076,0.01,0.051
1.051,0.0,5.08,0.01,0.051
1.062,0.0,5.072,0.011,0.056
1.073,0.0,5.076,0.012,0.061
1.083,0.0,5.076,0.01,0.051
1.095,0.0,5.076,0.0,0.0
1.106,0.0,5.076,0.011,0.056
1.117,0.0,5.072,0.01,0.051
1.128,0.0,5.076,0.01,0.051
1.14,0.0,5.072,0.01,0.051
1.15,0.0,5.072,0.01,0.051
1.162,0.0,5.076,0.012,0.061
1.173,0.0,5.072,0.013,0.066
1.183,0.0,5.076,0.012,0.061
1.195,0.0,5.076,0.013,0.066
1.206,0.0,5.072,0.0,0.0
1.217,0.0,5.072,0.01,0.051
1.228,0.0,5.072,0.01,0.051
1.239,0.0,5.072,0.01,0.051
1.251,0.0,5.076,0.011,0.056
1.261,0.0,5.076,0.01,0.051
1.273,0.0,5.072,0.0,0.0
1.284,0.0,5.076,0.0,0.0
1.295,0.0,5.072,0.01,0.051
1.306,0.0,5.072,0.101,0.512
1.318,0.0,5.072,0.1,0.507
1.329,0.0,5.072,0.102,0.517
1.339,0.0,5.072,0.101,0.512
1.352,0.0,5.072,0.101,0.512
1.362,0.0,5.072,0.1,0.507
1.372,0.0,5.072,0.102,0.517
1.383,0.0,5.076,0.1,0.508
1.393,56.0,5.072,0.1,0.507
1.403,56.0,5.072,0.099,0.502
1.413,55.0,5.072,0.1,0.507
1.424,54.0,5.072,0.101,0.512
1.434,54.0,5.072,0.101,0.512
1.444,53.0,5.072,0.101,0.512
1.455,52.0,5.072,0.101,0.512
1.467,51.0,5.072,0.055,0.279
1.478,51.0,5.072,0.078,0.396
1.489,50.0,5.072,0.102,0.517
1.5,49.0,5.068,0.1,0.507
1.512,48.0,5.072,0.102,0.517
1.522,47.0,5.072,0.102,0.517
1.534,46.0,5.076,0.102,0.518
1.545,45.0,5.072,0.101,0.512
1.555,44.0,5.072,0.101,0.512
1.565,43.0,5.076,0.101,0.513
1.576,41.0,5.072,0.1,0.507
1.586,40.0,5.072,0.1,0.507
1.596,39.0,5.068,0.102,0.517
1.607,38.0,5.072,0.101,0.512
1.618,37.0,5.072,0.1,0.507
1.628,35.0,5.072,0.1,0.507
1.638,34.0,5.072,0.101,0.512
1.649,32.0,5.072,0.055,0.279
1.661,31.0,5.076,0.078,0.396
1.672,30.0,9.1,0.11,1.001
1.684,30.0,9.1,0.131,1.192
1.752,30.0,9.1,0.177,1.611
1.766,30.0,9.096,0.207,1.883
1.777,30.0,9.1,0.201,1.829
1.788,30.0,9.1,0.156,1.42
1.8,30.0,9.1,0.209,1.902
1.811,29.0,9.1,0.176,1.602
1.822,29.0,9.1,0.176,1.602
1.835,29.0,9.096,0.181,1.646
1.846,28.0,9.1,0.214,1.947
1.858,28.0,9.1,0.227,2.066
1.87,27.0,9.096,0.191,1.737
1.882,27.0,9.1,0.214,1.947
1.893,26.0,9.1,0.196,1.784
1.91,26.0,9.096,0.225,2.047
1.922,25.0,9.1,0.173,1.574
1.933,24.0,9.1,0.193,1.756
1.949,25.0,9.1,0.213,1.938
1.958,26.0,9.1,0.213,1.938
1.966,27.0,9.1,0.227,2.066
1.973,29.0,9.1,0.214,1.947
1.982,30.0,9.1,0.228,2.075
1.991,31.0,9.1,0.227,2.066
1.999,32.0,9.096,0.227,2.065
2.007,33.0,9.1,0.227,2.066
2.015,34.0,9.1,0.229,2.084
2.024,35.0,9.096,0.228,2.074
2.032,35.0,9.096,0.228,2.074
2.04,36.0,9.092,0.222,2.018
2.048,37.0,9.096,0.229,2.083
2.057,38.0,9.096,0.207,1.883
2.065,39.0,9.1,0.227,2.066
2.073,40.0,9.096,0.228,2.074
2.081,40.0,9.096,0.229,2.083
2.09,41.0,9.096,0.227,2.065
2.099,42.0,9.096,0.229,2.083
2.107,42.0,9.096,0.232,2.11
2.115,43.0,9.096,0.227,2.065
2.124,44.0,9.1,0.229,2.084
2.133,44.0,9.1,0.23,2.093
2.141,45.0,9.1,0.226,2.057
2.148,45.0,9.1,0.228,2.075
2.157,46.0,9.096,0.229,2.083
2.166,46.0,9.092,0.227,2.064
2.174,47.0,9.096,0.221,2.01
2.182,47.0,9.096,0.227,2.065
2.19,47.0,9.1,0.219,1.993
2.2,48.0,9.096,0.229,2.083
2.208,48.0,9.096,0.226,2.056
2.216,48.0,9.096,0.23,2.092
2.225,49.0,9.096,0.224,2.038
2.234,49.0,9.096,0.228,2.074
2.243,49.0,9.096,0.228,2.074
2.251,49.0,9.1,0.195,1.774
2.259,49.0,9.096,0.223,2.028
2.268,50.0,9.096,0.216,1.965
2.277,50.0,9.1,0.211,1.92
2.285,50.0,9.096,0.209,1.901
2.293,50.0,9.096,0.208,1.892
2.302,50.0,9.096,0.194,1.765
2.311,50.0,9.096,0.211,1.919
2.319,50.0,9.1,0.173,1.574
2.328,50.0,9.096,0.228,2.074
2.336,50.0,9.096,0.227,2.065
2.345,49.0,9.096,0.251,2.283
2.354,49.0,9.096,0.275,2.501
2.362,49.0,9.096,0.298,2.711
2.371,49.0,9.096,0.298,2.711
2.38,49.0,9.096,0.32,2.911
2.389,48.0,9.092,0.347,3.155
2.397,48.0,9.092,0.37,3.364
2.405,48.0,9.096,0.391,3.557
2.415,47.0,9.092,0.399,3.628
2.424,47.0,9.096,0.413,3.757
2.432,47.0,9.092,0.438,3.982
2.44,46.0,9.092,0.461,4.191
2.45,46.0,9.092,0.486,4.419
2.458,45.0,9.092,0.511,4.646
2.467,45.0,9.088,0.509,4.626
2.475,44.0,9.092,0.534,4.855
2.484,44.0,9.088,0.559,5.08
2.493,43.0,9.088,0.582,5.289
2.501,42.0,9.088,0.596,5.416
2.51,42.0,9.088,0.608,5.526
