Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.486,0.0,5.076,0.0,0.0
0.497,0.0,5.076,0.01,0.051
0.508,0.0,5.076,0.0,0.0
0.519,0.0,5.076,0.0,0.0
0.531,0.0,5.076,0.0,0.0
0.542,0.0,5.08,0.0,0.0
0.553,0.0,5.076,0.01,0.051
0.565,0.0,5.072,0.01,0.051
0.575,0.0,5.072,0.01,0.051
0.587,0.0,5.076,0.01,0.051
0.598,0.0,5.072,0.0,0.0
0.609,0.0,5.076,0.0,0.0
0.62,0.0,5.076,0.01,0.051
0.632,0.0,5.072,0.01,0.051
0.643,0.0,5.076,0.01,0.051
0.654,0.0,5.076,0.011,0.056
0.666,0.0,5.072,0.01,0.051
0.677,0.0,5.076,0.01,0.051
0.688,0.0,5.076,0.0,0.0
0.7,0.0,5.076,0.01,0.051
0.712,0.0,5.076,0.0,0.0
0.723,0.0,5.076,0.0,0.0
0.735,0.0,5.076,0.0,0.0
0.746,0.0,5.076,0.01,0.051
0.757,0.0,5.076,0.0,0.0
0.772,0.0,5.072,0.01,0.051
0.783,0.0,5.076,0.01,0.051
0.794,0.0,5.076,0.011,0.056
0.805,0.0,5.076,0.01,0.051
0.816,0.0,5.076,0.01,0.051
0.826,0.0,5.072,0.01,0.051
0.837,0.0,5.076,0.0,0.0
0.849,0.0,5.076,0.0,0.0
0.859,0.0,5.072,0.011,0.056
0.87,0.0,5.072,0.01,0.051
0.882,0.0,5.076,0.0,0.0
0.893,0.0,5.076,0.01,0.051
0.904,0.0,5.076,0.01,0.051
0.916,0.0,5.072,0.01,0.051
0.927,0.0,5.076,0.0,0.0
0.938,0.0,5.072,0.01,0.051
0.95,0.0,5.076,0.01,0.051
0.961,0.0,5.076,0.01,0.051
0.972,0.0,5.076,0.0,0.0
0.985,0.0,5.072,0.0,0.0
0.996,0.0,5.076,0.01,0.051
1.007,0.0,5.076,0.0,0.0
1.019,0.0,5.076,0.0,0.0
1.031,0.0,5.076,0.011,0.056
1.042,0.0,5.072,0.01,0.051
1.054,0.0,5.072,0.01,0.051
1.067,0.0,5.072,0.0,0.0
1.078,0.0,5.076,0.011,0.056
1.09,0.0,5.076,0.01,0.051
1.101,0.0,5.072,0.013,0.066
1.113,0.0,5.076,0.013,0.066
1.124,0.0,5.076,0.014,0.071
1.136,0.0,5.076,0.014,0.071
1.148,0.0,5.076,0.0,0.0
1.159,0.0,5.076,0.0,0.0
1.171,70.0,5.076,0.0,0.0
1.183,70.0,5.076,0.0,0.0
1.194,69.0,5.076,0.01,0.051
1.207,68.0,5.076,0.01,0.051
1.218,67.0,5.076,0.0,0.0
1.229,66.0,5.076,0.01,0.051
1.241,65.0,5.072,0.0,0.0
1.253,64.0,5.072,0.101,0.512
1.264,63.0,5.072,0.1,0.507
1.277,62.0,5.068,0.101,0.512
1.288,61.0,5.072,0.099,0.502
1.299,59.0,5.068,0.101,0.512
1.311,58.0,5.072,0.1,0.507
1.323,57.0,5.072,0.1,0.507
1.334,55.0,5.072,0.101,0.512
1.346,54.0,5.072,0.1,0.507
1.358,52.0,5.072,0.101,0.512
1.369,50.0,5.072,0.101,0.512
1.381,49.0,5.072,0.102,0.517
1.393,47.0,5.076,0.1,0.508
1.404,45.0,5.072,0.099,0.502
1.415,43.0,5.072,0.056,0.284
1.427,41.0,5.072,0.076,0.385
1.438,39.0,5.072,0.101,0.512
1.45,37.0,5.068,0.102,0.517
1.462,35.0,5.072,0.102,0.517
1.473,33.0,5.072,0.104,0.527
1.484,31.0,5.072,0.103,0.522
1.497,29.0,5.072,0.102,0.517
